Attribute,Entity,Numeric Value
geolocation.latitude,/en/austraila,0.1567151277013752
geolocation.latitude,/en/libya,0.6463654223968566
geolocation.latitude,/en/guinea-bissau,0.5284872298624754
geolocation.latitude,/en/qatar,0.6330058939096267
geolocation.latitude,/en/sudan,0.5520628683693517
geolocation.latitude,/en/eritrea,0.5546823811394892
geolocation.latitude,/en/american_samoa,0.3218074656188605
geolocation.latitude,/en/guernsey,0.8227897838899804
geolocation.latitude,/en/india,0.5992141453831041
geolocation.latitude,/en/mauritius,0.2754420432220039
geolocation.latitude,/en/british_guiana,0.4802881493123772
geolocation.latitude,/en/swedem,0.9005893909626719
geolocation.latitude,/en/palau,0.4931237721021611
geolocation.latitude,/en/weimar_republic,0.8468893280943025
geolocation.latitude,/en/southern_sudan,0.4722986247544204
geolocation.latitude,/en/martinique,0.5494433555992142
geolocation.latitude,/en/jersey,0.8207465618860511
geolocation.latitude,/en/guatemala,0.549181398821218
geolocation.latitude,/en/laos,0.575376557956778
geolocation.latitude,/en/mali,0.5335952848722987
geolocation.latitude,/en/new_zealand,0.1041257367387033
geolocation.latitude,/en/saint-barthelemy,0.574852652259332
geolocation.latitude,/en/united_kingdom,0.8388998035363457
geolocation.latitude,/en/austrian_empire,0.812966601178782
geolocation.latitude,/en/cocos_islands,0.3389652888015717
geolocation.latitude,/en/yemen,0.5520628683693517
geolocation.latitude,/en/cook_islands,0.2675834970530452
geolocation.latitude,/en/french_polynesia,0.2963981689587426
geolocation.latitude,/en/sint_maarten,0.5760314341846758
geolocation.latitude,/en/iceland,0.9449901768172888
geolocation.latitude,/en/saudi_arabia,0.6227897838899804
geolocation.latitude,/en/singapore,0.4444007858546169
geolocation.latitude,/en/tonga,0.2681074027504911
geolocation.latitude,/en/barbados,0.537655536345776
geolocation.latitude,/en/vatican_city,0.7634839528487231
geolocation.latitude,/en/china,0.7092337917485265
geolocation.latitude,/en/thailand,0.5422396856581533
geolocation.latitude,/en/seychelles,0.3979043850687623
geolocation.latitude,/en/guam,0.5402750491159135
geolocation.latitude,/en/greater_colombia,0.4707269155206287
geolocation.latitude,/en/san_marino,0.7794368015717092
geolocation.latitude,/en/kingdom_of_hungary,0.8073346404715128
geolocation.latitude,/en/chile,0.1714472848722986
geolocation.latitude,/en/austria-hungary,0.812966601178782
geolocation.latitude,/en/christmas_island,0.3518009194499017
geolocation.latitude,/en/saint_vincent_and_the_grenadines,0.537655536345776
geolocation.latitude,/en/hungary,0.8069417131630648
geolocation.latitude,/en/federal_republic_of_yugoslavia,0.7863785225933202
geolocation.latitude,/en/uruguay,0.1600523929273084
geolocation.latitude,/en/hong_kong,0.6091709233791748
geolocation.latitude,/en/norfolk_island,0.2060248880157171
geolocation.latitude,/en/saint_kitts_and_nevis,0.5701375245579567
geolocation.latitude,/en/uganda,0.4425671277013752
geolocation.latitude,/en/guinea,0.5089718428290766
geolocation.latitude,/en/saxe-weimar-eisenach,0.8348395520628684
geolocation.latitude,/en/solomon_islands,0.3597904361493124
geolocation.latitude,/en/cambodia,0.524950884086444
geolocation.latitude,/en/austria,0.812966601178782
geolocation.latitude,/en/jamaica,0.5770718113948919
geolocation.latitude,/en/switzerland,0.8022265854616897
geolocation.latitude,/en/norway,0.9135559921414538
geolocation.latitude,/en/indonesia,0.3856581532416503
geolocation.latitude,/en/andorra,0.768172888015717
geolocation.latitude,/en/cayman_islands,0.5861165658153241
geolocation.latitude,/en/sahrawi_arab_democratic_republic,0.6262987269155206
geolocation.latitude,/en/syria,0.6974459724950884
geolocation.latitude,/en/ghana,0.4777996070726915
geolocation.latitude,/en/saint_lucia,0.544335300589391
geolocation.latitude,/en/curacao,0.5299279607072692
geolocation.latitude,/en/republic_of_macedonia,0.7611001964636542
geolocation.latitude,/en/kuwait,0.6649639842829077
geolocation.latitude,/en/peru,0.3395415874263261
geolocation.latitude,/en/comoros,0.3423706640471513
geolocation.latitude,/en/bahrain,0.6387229862475442
geolocation.latitude,/en/sao_tome_and_principe,0.436804188605108
geolocation.latitude,/en/guadeloupe,0.5618860510805501
geolocation.latitude,/en/aruba,0.5324165029469549
geolocation.latitude,/en/greenland,1.0
geolocation.latitude,/en/germany,0.8468893280943025
geolocation.latitude,/en/iran,0.6856581532416502
geolocation.latitude,/en/western_sahara,0.630648330058939
geolocation.latitude,/en/bhutan,0.6496424361493124
geolocation.latitude,/en/nicaragua,0.5363457760314342
geolocation.latitude,/en/papua_new_guinea,0.3595284872298624
geolocation.latitude,/en/montenegro,0.7703994734774067
geolocation.latitude,/en/philippines,0.5363457760314342
geolocation.latitude,/en/liberia,0.4838244950884087
geolocation.latitude,/en/panama,0.5046496424361493
geolocation.latitude,/en/romania,0.7832351041257366
geolocation.latitude,/en/the_gambia,0.5400131001964636
